,0
0,"[72, 444]"
1,"[70, 444]"
2,"[77, 443]"
3,"[78, 442]"
4,"[80, 441]"
5,"[81, 441]"
6,"[83, 440]"
7,"[84, 439]"
8,"[85, 439]"
9,"[85, 438]"
10,"[84, 438]"
11,"[84, 438]"
12,"[83, 437]"
13,"[84, 436]"
14,"[85, 435]"
15,"[85, 433]"
16,"[86, 432]"
17,"[86, 430]"
18,"[86, 428]"
19,"[87, 427]"
20,"[86, 425]"
21,"[86, 416]"
22,"[87, 407]"
23,"[89, 395]"
24,"[89, 380]"
25,"[89, 360]"
26,"[88, 338]"
27,"[88, 318]"
28,"[88, 318]"
29,"[88, 285]"
30,"[90, 257]"
31,"[93, 232]"
32,"[100, 208]"
33,"[114, 171]"
34,"[121, 159]"
35,"[129, 151]"
36,"[138, 146]"
37,"[145, 143]"
38,"[150, 141]"
39,"[154, 139]"
40,"[155, 138]"
41,"[158, 137]"
42,"[159, 136]"
43,"[159, 137]"
44,"[158, 138]"
45,"[157, 141]"
46,"[156, 141]"
47,"[155, 142]"
48,"[155, 142]"
49,"[155, 142]"
50,"[154, 141]"
51,"[153, 141]"
52,"[152, 142]"
53,"[151, 143]"
54,"[149, 144]"
55,"[148, 146]"
56,"[150, 149]"
57,"[151, 152]"
58,"[155, 157]"
59,"[158, 164]"
60,"[162, 171]"
61,"[165, 179]"
62,"[167, 187]"
63,"[167, 193]"
64,"[166, 198]"
65,"[164, 203]"
66,"[162, 208]"
67,"[160, 214]"
68,"[159, 219]"
69,"[158, 224]"
70,"[158, 229]"
71,"[158, 234]"
72,"[158, 239]"
73,"[158, 246]"
74,"[157, 253]"
75,"[156, 260]"
76,"[155, 268]"
77,"[154, 275]"
78,"[154, 283]"
79,"[153, 290]"
80,"[152, 297]"
81,"[149, 308]"
82,"[147, 314]"
83,"[145, 321]"
84,"[142, 327]"
85,"[142, 327]"
86,"[140, 334]"
87,"[137, 340]"
88,"[135, 347]"
89,"[132, 353]"
90,"[131, 358]"
91,"[131, 363]"
92,"[132, 367]"
93,"[136, 374]"
94,"[140, 376]"
95,"[145, 379]"
96,"[149, 381]"
97,"[153, 384]"
98,"[157, 385]"
99,"[162, 387]"
100,"[167, 388]"
101,"[173, 389]"
102,"[179, 389]"
103,"[186, 390]"
104,"[195, 391]"
105,"[204, 391]"
106,"[214, 392]"
107,"[224, 392]"
108,"[233, 392]"
109,"[244, 392]"
110,"[252, 393]"
111,"[259, 392]"
112,"[267, 391]"
113,"[273, 391]"
114,"[279, 391]"
115,"[284, 389]"
116,"[288, 387]"
117,"[289, 385]"
118,"[287, 367]"
119,"[288, 361]"
120,"[288, 354]"
121,"[288, 347]"
122,"[287, 340]"
123,"[287, 332]"
124,"[287, 324]"
125,"[287, 317]"
126,"[287, 310]"
127,"[286, 299]"
128,"[287, 290]"
129,"[287, 282]"
130,"[288, 272]"
131,"[288, 263]"
132,"[290, 253]"
133,"[290, 244]"
134,"[289, 233]"
135,"[288, 223]"
136,"[287, 213]"
137,"[285, 203]"
138,"[284, 186]"
139,"[283, 180]"
140,"[283, 180]"
141,"[281, 175]"
142,"[279, 171]"
143,"[278, 168]"
144,"[277, 165]"
145,"[276, 164]"
146,"[275, 162]"
147,"[274, 162]"
148,"[275, 162]"
149,"[276, 163]"
150,"[281, 163]"
151,"[285, 163]"
152,"[290, 163]"
153,"[297, 163]"
154,"[304, 163]"
155,"[311, 163]"
156,"[320, 163]"
157,"[329, 164]"
158,"[337, 164]"
159,"[337, 164]"
160,"[346, 166]"
161,"[354, 166]"
162,"[367, 167]"
163,"[372, 168]"
164,"[375, 168]"
165,"[377, 169]"
166,"[378, 170]"
167,"[379, 171]"
168,"[379, 173]"
169,"[378, 175]"
170,"[378, 178]"
171,"[378, 182]"
172,"[377, 187]"
173,"[377, 194]"
174,"[376, 203]"
175,"[376, 213]"
176,"[377, 226]"
177,"[377, 240]"
178,"[376, 254]"
179,"[376, 268]"
180,"[376, 283]"
181,"[377, 297]"
182,"[377, 314]"
183,"[378, 326]"
184,"[378, 338]"
185,"[377, 352]"
186,"[377, 364]"
187,"[378, 377]"
188,"[380, 388]"
189,"[385, 398]"
190,"[394, 405]"
191,"[405, 411]"
192,"[418, 415]"
193,"[433, 418]"
194,"[447, 419]"
195,"[460, 420]"
196,"[473, 420]"
197,"[485, 420]"
198,"[497, 419]"
199,"[510, 418]"
200,"[522, 416]"
201,"[534, 414]"
202,"[545, 412]"
203,"[556, 409]"
204,"[566, 406]"
205,"[575, 403]"
206,"[581, 401]"
207,"[585, 398]"
208,"[588, 396]"
209,"[590, 394]"
210,"[590, 394]"
